period_us,workers,load,pattern,n,mean_p99_ms,median_p99_ms,min_p99_ms,max_p99_ms,sd_p99_ms,mean_p50_ms,mean_throttle_fraction,mean_cpu_cores,mean_successful_rps,total_scheduled,total_errors,total_rejected,cv_p99
100000,2,high,steady,5,6.0886088,6.095051,5.929761,6.226471,0.11140652645693594,5.0200256,0.18633333333333332,0.4892491131647353,113.21580795705943,33965,0,0,0.01829753398788504
100000,2,moderate,bursty,5,6.527061999999999,6.541759,6.483956,6.567234,0.038632102835595185,5.692792799999999,0.004666666666666667,0.3234598495065607,66.5980470031536,19980,0,0,0.005918758368710944
100000,2,moderate,steady,5,6.5718018,6.557073,6.529477,6.637018,0.043940843206520516,5.813190199999999,0.0,0.328129094203836,66.59900904786716,19980,0,0,0.006686270302083747
100000,4,high,bursty,5,4302.713744799999,4313.388593,4220.354597,4353.542979,49.24155177501453,171.595819,0.71531310639032,0.43948463205671573,110.41883055992946,33965,8,142,0.011444301130774713
100000,4,high,steady,5,5.9839912,6.007624,5.929623,6.025128,0.04288220361292063,5.0131358,0.15766666666666668,0.48728904143980944,113.21528427765854,33965,0,0,0.007166154190353861
100000,4,moderate,bursty,5,6.526405800000001,6.516793,6.489344,6.594463,0.04039950098330417,5.6816382,0.0029977814753189133,0.3230624502289675,66.59825993965106,19980,0,0,0.006190160744111892
100000,4,moderate,steady,5,6.6224364,6.617016,6.598424,6.654554,0.02308729544143296,5.827997,0.0,0.3286578496330991,66.59916654596137,19980,0,0,0.0034862238075148537
250000,1,high,bursty,5,478.78403779999996,480.75063,460.917021,494.909173,12.19000434400538,155.7529872,0.5595041322314049,0.4080595237519954,112.46991372096616,33965,0,0,0.02546033990610491
250000,1,high,steady,5,5.9717392,5.973667,5.943869,5.991977,0.018602237102025788,5.0062938,0.06743775933609959,0.48938831563509577,113.21503138807711,33965,0,0,0.0031150451282309496
250000,1,moderate,bursty,5,6.5019532,6.492335,6.442121,6.557781,0.05061324779343868,5.676381600000001,0.0,0.3228069204300373,66.59831023464315,19980,0,0,0.007784314380090998
250000,1,moderate,steady,5,6.583210599999999,6.598825,6.529972,6.634574,0.043333352089354835,5.8148484,0.0,0.32760271725413576,66.59920286531153,19980,0,0,0.0065824040460371784
250000,2,high,bursty,5,722.3692186000001,722.013033,710.597277,734.333048,8.597129582983165,236.610556,0.5860082304526749,0.41430025857285846,112.05820143782587,33965,0,0,0.011901295572428982
250000,2,high,steady,5,5.9478984,5.948509,5.912853,5.981725,0.02460375822511651,5.0067438,0.04666666666666667,0.4886128827266643,113.215439996333,33965,0,0,0.004136546485917868
250000,2,moderate,bursty,5,6.520549,6.53149,6.460432,6.547884,0.03622611261231351,5.6908476,0.0,0.32283992832186625,66.598167569364,19980,0,0,0.005555684438889043
250000,2,moderate,steady,5,6.5690008,6.556263,6.519221,6.608186,0.03793556559747081,5.8252634,0.0,0.3285990512948128,66.59909255767585,19980,0,0,0.005774936973286837
250000,4,high,bursty,5,1157.632531,1105.442582,962.899358,1614.847339,267.9373206634873,164.3216716,0.5876543209876544,0.41692232615304564,112.02327893745753,33965,0,0,0.23145282590843788
250000,4,high,steady,5,5.922071,5.924686,5.870992,5.958054,0.03385900425293087,4.993425,0.045,0.48902104731934104,113.215204305698,33965,0,0,0.00571742626066639
250000,4,moderate,bursty,5,6.5411176,6.535286,6.501782,6.575173,0.03310925401304015,5.6913602,0.0,0.32326584787182494,66.59793407401052,19980,0,0,0.005061712086179303
250000,4,moderate,steady,5,6.6012034,6.617162,6.505613,6.646982,0.05677793532966834,5.8270404,0.0,0.3285058587467403,66.59907113181097,19980,0,0,0.008601149197988406
