iterations,rate,period_us,quota_us,workers,pattern,burst_low,burst_high,load,trial,run_id,duration_sec,warmup_sec,p99_ms,p50_ms,p95_ms,cpu_usage_cores,throttling_fraction,successful_rps,failed,flags
44000,113.21,100000,50000,1,bursty,56.605,169.815,high,1,p100000_w1_high_bursty_r1,60,20,801.851931,295.455871,753.527022,0.4168923405871318,0.6167763157894737,111.7223049579269,0,
44000,113.21,100000,50000,1,bursty,56.605,169.815,high,2,p100000_w1_high_bursty_r2,60,20,849.828281,311.970446,792.477514,0.4182952519770355,0.6223316912972086,111.57059699790868,0,
44000,113.21,100000,50000,1,bursty,56.605,169.815,high,3,p100000_w1_high_bursty_r3,60,20,839.977575,310.945876,787.819778,0.41876336382785234,0.6167763157894737,111.71637328503758,0,
44000,113.21,100000,50000,1,bursty,56.605,169.815,high,4,p100000_w1_high_bursty_r4,60,20,838.295018,313.176161,787.000509,0.41858006580386614,0.6157635467980296,111.61974014089442,0,
44000,113.21,100000,50000,1,bursty,56.605,169.815,high,5,p100000_w1_high_bursty_r5,60,20,813.861372,298.175228,768.392342,0.4180078847648771,0.6118421052631579,111.75383013674998,0,
44000,113.21,100000,50000,1,steady,56.605,169.815,high,1,p100000_w1_high_steady_r1,60,20,6.088433,5.070442,5.796658,0.48832445978238515,0.165,113.21430283127356,0,
44000,113.21,100000,50000,1,steady,56.605,169.815,high,2,p100000_w1_high_steady_r2,60,20,6.103226,4.976124,5.693619,0.4897362627814122,0.19833333333333333,113.2145374842591,0,
44000,113.21,100000,50000,1,steady,56.605,169.815,high,3,p100000_w1_high_steady_r3,60,20,6.066323,5.012107,5.748265,0.4888839406501386,0.17470881863560733,113.21459581509568,0,
44000,113.21,100000,50000,1,steady,56.605,169.815,high,4,p100000_w1_high_steady_r4,60,20,6.022946,5.003918,5.709189,0.4889799697378588,0.14166666666666666,113.21543676209095,0,
44000,113.21,100000,50000,1,steady,56.605,169.815,high,5,p100000_w1_high_steady_r5,60,20,6.018522,5.021692,5.738752,0.48755742815487374,0.14333333333333334,113.21587227429033,0,
44000,66.59,100000,50000,1,bursty,33.295,99.885,moderate,1,p100000_w1_moderate_bursty_r1,60,20,6.494972,5.686238,6.272698,0.322492913090367,0.0,66.59770846608848,0,
44000,66.59,100000,50000,1,bursty,33.295,99.885,moderate,2,p100000_w1_moderate_bursty_r2,60,20,6.51028,5.696481,6.301781,0.3237256095127744,0.0016666666666666668,66.59865896385321,0,
44000,66.59,100000,50000,1,bursty,33.295,99.885,moderate,3,p100000_w1_moderate_bursty_r3,60,20,6.578856,5.721869,6.338425,0.32362915623949723,0.005,66.59813019533651,0,
44000,66.59,100000,50000,1,bursty,33.295,99.885,moderate,4,p100000_w1_moderate_bursty_r4,60,20,6.468369,5.664023,6.26391,0.3228669580625459,0.0,66.59788963386366,0,
44000,66.59,100000,50000,1,bursty,33.295,99.885,moderate,5,p100000_w1_moderate_bursty_r5,60,20,6.58097,5.702551,6.305155,0.3235092113696628,0.0033333333333333335,66.5980144279284,0,
44000,66.59,100000,50000,1,steady,33.295,99.885,moderate,1,p100000_w1_moderate_steady_r1,60,20,6.601416,5.815155,6.354267,0.3276181836331428,0.0,66.59945555500079,0,
44000,66.59,100000,50000,1,steady,33.295,99.885,moderate,2,p100000_w1_moderate_steady_r2,60,20,6.700365,5.880956,6.448244,0.32999148735788464,0.0,66.59965222105608,0,
44000,66.59,100000,50000,1,steady,33.295,99.885,moderate,3,p100000_w1_moderate_steady_r3,60,20,6.56595,5.816431,6.358584,0.32810978616052666,0.0,66.59874365022037,0,
44000,66.59,100000,50000,1,steady,33.295,99.885,moderate,4,p100000_w1_moderate_steady_r4,60,20,6.619854,5.844299,6.378883,0.32877152143023564,0.0,66.59942906529443,0,
44000,66.59,100000,50000,1,steady,33.295,99.885,moderate,5,p100000_w1_moderate_steady_r5,60,20,6.573525,5.822583,6.336487,0.32820589857311966,0.0,66.59924759500029,0,
44000,113.21,100000,50000,2,bursty,56.605,169.815,high,1,p100000_w2_high_bursty_r1,60,20,3609.548652,280.566641,1065.424951,0.4263293690592963,0.6540983606557377,106.16473339869276,320,
44000,113.21,100000,50000,2,bursty,56.605,169.815,high,2,p100000_w2_high_bursty_r2,60,20,2823.794443,364.456898,1073.529427,0.42435342276340937,0.6508196721311476,105.69572805151012,347,
44000,113.21,100000,50000,2,bursty,56.605,169.815,high,3,p100000_w2_high_bursty_r3,60,20,1082.118007,511.17959,1044.235542,0.4242557664415641,0.6475409836065574,105.89480541886438,337,
44000,113.21,100000,50000,2,bursty,56.605,169.815,high,4,p100000_w2_high_bursty_r4,60,20,3903.515237,286.215478,1416.930914,0.42797175572671964,0.6596091205211726,106.53213235937439,253,
44000,113.21,100000,50000,2,bursty,56.605,169.815,high,5,p100000_w2_high_bursty_r5,60,20,1082.653392,512.171021,1046.442455,0.4237353146499638,0.6475409836065574,105.43720348265956,363,
44000,113.21,100000,50000,2,steady,56.605,169.815,high,1,p100000_w2_high_steady_r1,60,20,6.095051,5.015498,5.73481,0.48923442166061626,0.175,113.21612228203816,0,
44000,113.21,100000,50000,2,steady,56.605,169.815,high,2,p100000_w2_high_steady_r2,60,20,6.044598,5.024393,5.735432,0.48851003701423923,0.18333333333333332,113.21508984463368,0,
44000,113.21,100000,50000,2,steady,56.605,169.815,high,3,p100000_w2_high_steady_r3,60,20,6.147163,5.05435,5.772291,0.4888109835719527,0.18,113.21601461601288,0,
44000,113.21,100000,50000,2,steady,56.605,169.815,high,4,p100000_w2_high_steady_r4,60,20,5.929761,4.998027,5.666279,0.48933415767864324,0.15666666666666668,113.2161160834856,0,
